Scrapping_time,Link,New_Store_ID,Store_ID_raw,Search Query,Store Name,Store Rating,Category,Website Store,Address,Longitude,Latitude,N_Reviews,N_Blog_Reviews,Booking Hub Button Name,Certificate Button,Review_position,Review_Type,Reviewer_ID,Reviewer_N_reviews,Reviewer_N_photos,Reviewer_N_followers,Review_written,# Reviews_selected,Review_selected,Review_ID,Review_Time,Nth_visit,Proof method,Rating,Visit_Day,Have_reply,Time_reply
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,11,Visitor Review,리뷰는잘안쓰지만리뷰어,162.0,120.0,4.0,공주밤라떼 마시러 처음 가본 곳인데 분위기도 좋고 커피도 전문적인 곳 같아서 다음에는 커피 마시러 재방문할 예정입니다 좋아요,3.0,집중하기 좋아요,R11,22.12.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,12,Visitor Review,코끼리공장54,787.0,1.0,,"쥔장 친절,,, 커피는 맛나고..",3.0,친절해요,R12,,,,,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,13,Visitor Review,f64****,1567.0,5.0,,좋아요,3.0,커피가 맛있어요,R13,23.5.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,14,Visitor Review,여행가가재,381.0,320.0,31.0,정기구독 서비스 너무 좋아요! 하루에 여러잔 가져갈 수도 있고 커피 많이 사고 드시는 분들 꼭 이용해보세요!!!,3.0,커피가 맛있어요,R14,23.1.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,15,Visitor Review,꿀단지4426,546.0,21.0,1.0,맛있어요,3.0,좌석이 편해요,R15,23.5.23,2번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,16,Visitor Review,꿀단지4426,546.0,21.0,1.0,맛있어요~,3.0,가성비가 좋아요,R16,23.4.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,17,Visitor Review,온휘11,9.0,5.0,,처음 가봤는데 커피가 맛있고 조용해서 좋았어요.,3.0,커피가 맛있어요,R17,23.2.23,1번째 방문,"인증 수단
결제내역",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,18,Visitor Review,맹626,689.0,17.0,,좋아요,3.0,친절해요,R18,23.4.23,4번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,19,Visitor Review,소화데레사1122,230.0,214.0,2.0,"아메리카노 맛있어요. 
사장님이 친절하세요. 🥰",3.0,음료가 맛있어요,R19,22.11.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,20,Visitor Review,kooldoG,598.0,2.0,,굿,3.0,인테리어가 멋져요,R20,23.4.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,21,Visitor Review,크라리,591.0,1.0,,굿,3.0,친절해요,R21,23.4.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,22,Visitor Review,보름달9396,946.0,95.0,,친절합니다,3.0,커피가 맛있어요,R22,23.3.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,23,Visitor Review,소화데레사1122,230.0,214.0,2.0,커피가 너무 맛있어요^__^,3.0,음료가 맛있어요,R23,22.11.23,2번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,24,Visitor Review,다정한 키쉬,2522.0,189.0,,"사장님 친절하시고~~~ 커피맛 쥑이고~~~^.^ 
가까우면 더 자주 갈텐데...",3.0,커피가 맛있어요,R24,22.11.23,8번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,25,Visitor Review,bum****,201.0,2.0,,커피향 좋은곳,3.0,커피가 맛있어요,R25,23.1.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,26,Visitor Review,여행가가재,381.0,320.0,31.0,친절해요!,3.0,친절해요,R26,23.1.23,2번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,27,Visitor Review,다정한 키쉬,2522.0,189.0,,"커피도 맛있고, 분위기도 좋고, 사장님도 친절하셔요.",3.0,대화하기 좋아요,R27,22.10.23,7번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,28,Visitor Review,pjh****,499.0,8.0,,굿,3.0,친절해요,R28,23.1.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,29,Visitor Review,bu****,7.0,6.0,,"커피가 너무 맛있고 향이 좋아요
매번 원두는 여기서만 구입합니다^^♡
너~~무 좋아요!",3.0,커피가 맛있어요,R29,22.8.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,30,Visitor Review,고갱고갱고갱,1558.0,32.0,22.0,굿,3.0,매장이 청결해요,R30,22.11.23,3번째 방문,"인증 수단
결제내역",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,31,Visitor Review,kkk****,5.0,2.0,,사장님이 무척친절하시고 직접로스팅하는커피라 맛있구요 음료도 다양해요,3.0,커피가 맛있어요,R31,22.9.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,32,Visitor Review,까탈스7288,609.0,,,좋아요,3.0,커피가 맛있어요,R32,22.11.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,33,Visitor Review,로보스64,74.0,8.0,,아늑한곳임,3.0,사진이 잘 나와요,R33,22.10.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,34,Visitor Review,잭애스2,241.0,,,빨대가 귀여워요,3.0,커피가 맛있어요,R34,22.7.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,35,Visitor Review,오아시스3632,11.0,6.0,,자주 사먹습니다 커피 맛집이에여!,3.0,커피가 맛있어요,R35,22.6.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,36,Visitor Review,복덩이960,656.0,8.0,,굿,3.0,커피가 맛있어요,R36,22.8.23,2번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,37,Visitor Review,잭애스2,241.0,,,네,3.0,집중하기 좋아요,R37,22.7.23,2번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,38,Visitor Review,다정한 키쉬,2522.0,189.0,,가끔 일부러 찾아가는 커피맛집^^,3.0,음료가 맛있어요,R38,22.4.23,6번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,39,Visitor Review,Ahn20,679.0,팔로워 16,16.0,오묘한맛,3.0,친절해요,R39,22.7.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,40,Visitor Review,Ahn20,679.0,팔로워 16,16.0,맛나요,3.0,커피가 맛있어요,R40,22.7.23,3번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,41,Visitor Review,잭애스2,241.0,,,맛나요,3.0,커피가 맛있어요,R41,22.7.23,3번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,42,Visitor Review,judith89,26.0,4,,"원두가 정말 좋아요! 사장님도 넘 친절하시고, 제 최애 카페입니다❤️",3.0,커피가 맛있어요,R42,22.8.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,43,Visitor Review,Ahn20,679.0,팔로워 16,16.0,조아요,3.0,매장이 청결해요,R43,22.7.23,2번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,44,Visitor Review,jjy****,314.0,,,굿,3.0,친절해요,R44,22.9.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,45,Visitor Review,유니스051,27.0,38,,드립커피종류가 많고 깔끔합니다,3.0,커피가 맛있어요,R45,21.11.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,46,Visitor Review,다정한 키쉬,2522.0,189,,로스팅을 직접 하는 카페라 원두도 가끔 사오고 커피도 맛있고 크로플도 굿!!,3.0,친절해요,R46,22.1.23,5번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,47,Visitor Review,joy96,50.0,15,,,3.0,매장이 청결해요,R47,22.3.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,48,Visitor Review,큰큰나무,1723.0,335,,좋아요,3.0,특별한 메뉴가 있어요,R48,22.3.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,49,Visitor Review,eh8****,340.0,1,,굿,3.0,친절해요,R49,22.7.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,50,Visitor Review,엘리나97,21.0,24,1.0,"대표님 친절하시고 커피도 맛있어요~
방금 막 도착한 예쁜 꽃이랑 맛있는 커피♥️
인테리어랑 꽃 예뻐서 힐링하고가는 공간입니다~",3.0,친절해요,R50,21.9.23,1번째 방문,"인증 수단
영수증",5.0,,Yes,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,51,Visitor Review,복덩이960,656.0,8,,굿,3.0,매장이 청결해요,R51,22.3.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,52,Visitor Review,유니스051,27.0,38,,,3.0,매장이 청결해요,R52,21.12.23,2번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,53,Visitor Review,다정한 키쉬,2522.0,189,,좋아요,3.0,커피가 맛있어요,R53,21.12.23,4번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,54,Visitor Review,may****,79.0,1,,커피맛집,3.0,친절해요,R54,21.12.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,55,Visitor Review,ran****,284.0,,,먹고 싶은 거 있어서 좋아요,3.0,디저트가 맛있어요,R55,22.1.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,56,Visitor Review,JILES,794.0,4,,:),3.0,친절해요,R56,21.11.23,16번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,57,Visitor Review,액체용,586.0,10,1.0,굿,3.0,커피가 맛있어요,R57,21.12.23,1번째 방문,"인증 수단
영수증",,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,58,Visitor Review,둘리3739,36.0,13,,선불로 5만원이상 결제하면 10%포인트.더 주셔서 늘 선불권 구매해요~그래서 음료 영수증이 없네여ㅜㅜ 커피를 직접 로스팅하시고 사장님 항상 밝게 웃어주셔서 힐링이 되는 곳입니다~,1.0,,R58,21.6.23,1번째 방문,"인증 수단
영수증",5.0,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,59,Visitor Review,좋음93,212.0,1,,맛있엉ㆍ느,1.0,,R59,21.9.23,4번째 방문,"인증 수단
영수증",5.0,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,60,Visitor Review,리본엔,370.0,345,6.0,좋아요,3.0,커피가 맛있어요,R60,21.9.23,1번째 방문,"인증 수단
영수증",4.0,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,61,Visitor Review,pap****,719.0,10,,좋아요~~,3.0,커피가 맛있어요,R61,21.10.23,2번째 방문,"인증 수단
영수증",5.0,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,62,Visitor Review,희야나만바라봐,1741.0,234,25.0,굿,1.0,,R62,21.8.23,1번째 방문,"인증 수단
영수증",5.0,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,63,Visitor Review,레드튜너,258.0,37,3.0,,1.0,,R63,21.7.23,1번째 방문,"인증 수단
영수증",5.0,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,64,Visitor Review,좋음93,212.0,1,,좋아요,1.0,,R64,21.9.23,3번째 방문,"인증 수단
영수증",5.0,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,65,Visitor Review,좋음93,212.0,1,,맛있어요,1.0,,R65,21.8.23,2번째 방문,"인증 수단
영수증",5.0,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,66,Visitor Review,좋음93,212.0,1,,굿,1.0,,R66,21.8.23,1번째 방문,"인증 수단
영수증",4.0,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,67,Visitor Review,Jeannelee,24.0,7,,사장님 친절 최고.. 커피도 맛있어요,1.0,,R67,21.5.23,1번째 방문,"인증 수단
영수증",5.0,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,68,Visitor Review,명품에듀,119.0,4,,친절하세요.,1.0,,R68,21.7.23,1번째 방문,"인증 수단
영수증",4.0,,No,
13/02/2024-23:13:38,https://m.place.naver.com/share?id=789098991&tabsPath=%2Fmenu%2Flist&appMode=detail,1,10,세종 커피빈,미스터빈커피로스터스,4.81,"카페,디저트",,,,,109,127,,,69,Visitor Review,AppleMango20,1946.0,,,좋아요,1.0,,R69,21.7.23,1번째 방문,"인증 수단
영수증",5.0,,No,
